country	indicator	date	year_week	value	source	url
Cyprus	Daily hospital occupancy	12-06-2020	2020-W24	4	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	13-06-2020	2020-W24	4	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	14-06-2020	2020-W24	4	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	15-06-2020	2020-W25	4	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	16-06-2020	2020-W25	5	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	17-06-2020	2020-W25	4	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	18-06-2020	2020-W25	2	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	19-06-2020	2020-W25	2	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	20-06-2020	2020-W25	1	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	21-06-2020	2020-W25	1	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	22-06-2020	2020-W26	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	23-06-2020	2020-W26	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	24-06-2020	2020-W26	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	25-06-2020	2020-W26	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	26-06-2020	2020-W26	2	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	27-06-2020	2020-W26	1	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	28-06-2020	2020-W26	1	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	29-06-2020	2020-W27	1	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	30-06-2020	2020-W27	1	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	01-07-2020	2020-W27	1	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	02-07-2020	2020-W27	1	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	03-07-2020	2020-W27	1	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	04-07-2020	2020-W27	1	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	05-07-2020	2020-W27	1	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	06-07-2020	2020-W28	1	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	07-07-2020	2020-W28	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	08-07-2020	2020-W28	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	09-07-2020	2020-W28	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	10-07-2020	2020-W28	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	11-07-2020	2020-W28	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	12-07-2020	2020-W28	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	13-07-2020	2020-W29	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	14-07-2020	2020-W29	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	15-07-2020	2020-W29	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	16-07-2020	2020-W29	0	Country_Website	https://www.data.gov.cy/search/type/dataset
